id,content,topic,tag
22,"As the latest crop of students pen their undergraduate application form and weigh up their options, it may be worth considering just how the point, purpose and value of a degree has changed and what Generation Z need to consider as they start the third stage of their educational journey.Millennials were told that if you did well in school, got a decent degree, you would be set up for life. But that promise has been found wanting. As degrees became universal, they became devalued. Education was no longer a secure route of social mobility. Today, 28 per cent of graduates in the UK are in non-graduate roles, a percentage which is double the average among the OECD countries.Thankfully, there are signs that this is already happening, with Generation Z seeking to learn from their millennial predecessors, even if parents and teachers tend to be still set in the degree mindset. Employers have long seen the advantages of hiring school leavers who often prove themselves to be more committed and loyal employees than graduates. Many too are seeing the advantages of scrapping a degree requirement for certain roles.For those for whom a degree is the desired route, consider that this may well be the first of many. In this age of generalists, it pays to have specific knowledge or skills. Postgraduates now earn 40 per cent more than graduates. When more and more of us have a degree, it makes sense to have two.It is unlikely that Generation Z will be done with education at 18 or 21; they will need to be constantly upskilling throughout their career to stay employable. It has been estimated that this generation, due to the pressures of technology, the wish for personal fulfilment and desire for diversity, will work for 17 different employers over the course of their working life and have five different careers. Education, and not just knowledge gained on campus, will be a core part of Generation Z's career trajectory.Older generations often talk about their degree in the present and personal tense: ""I am a geographer"" or ""I am a classicist"". Their sons or daughters would never say such a thing; it's as if they already know that their degree won’t define them in the same way.",教育、学历、就业,教育
23,"Enlightening, challenging, stimulating, fun. These were some of the words that Nature readers used to describe their experience of art-science collaborations in a series of articles on partnerships between artists and researchers. Nearly 40% of the roughly 350 people who responded to an accompanying poll said, they had collaborated with artists; and almost all said they would consider doing so in future.Such an encouraging result is not surprising. Scientists are increasingly seeking out visual artists to help them communicate their work to new audiences. ""Artists help scientists reach a broader audience and make emotional connections that enhance learning,"" one respondent said.One example of how artists and scientists have together rocked the scenes came last month when the Sydney Symphony Orchestra performed a reworked version of Antonio Vivaldi’s The Four Seasons. They reimagined the 300-year-old score by injecting the latest climate prediction data for each season, which provided by Monash University’s Climate Change Communication Research Hub. The performance was a creative call to action ahead of November's United Nations Climate Change Conference in Glasgow, UK.But a genuine partnership must be a two-way street. Fewer artists than scientists responded to the Nature poll, however, several respondents noted that artists do not simply assist scientists with their communication requirements. Nor should their work be considered only as an object of study. The alliances are most valuable when scientists and artists have a shared stake in a project, are able to jointly design it and can critique each other's work. Such an approach can both prompt new research as well as result in powerful art.More than half a century ago, the Massachusetts Institute of Technology opened its Center for Advanced Visual Studies (CAYS) to explore the role of technology in culture.The founders deliberately focused their projects around light hence the ""visual studies"" in the name. Light was a something that both artists and scientists bad an interest in, and therefore could form the basis of collaboration. As science and technology progressed, and divided into more sub-disciplines, the centre was simultaneously looking to a time when leading researchers could also be artists, writers and poets, and vice versa.Nature's poll findings suggest that this trend is as strong as ever, but, to make a collaboration work, both sides need to invest time, and embrace surprise and challenge. The reach of art-science tie-ups needs to go beyond the necessary purpose of research communication, and participants must not fall into the trap of stereotyping each other. Artists and scientists alike are immersed in discovery and invention, and challenge and critique are core to both, too.",科学、艺术、合作,科学、文化
24,"The personal grievance provisions of New Zealand's Employment Relations Act 2000 (ERA) prevent an employer from firing an employee without good cause. Instead, dismissals must be justified. Employers must both show cause and act in a procedurally fair way.Personal grievance procedures were designed to guard the jobs of ordinary workers from ""unjustified dismissals"". The premise was that the common law of contract lacked sufficient safeguards for workers against arbitrary conduct by management. Long gone are the days when a boss could simply give an employee contractual notice.But these provisions create difficulties for businesses when applied to highly paid managers and executives. As countless boards and business owners will attest, constraining firms from firing poorly performing, high-earning managers is a handbrake on boosting productivity and overall performance. The difference between C-grade and A-grade managers may very well be the difference between business success or failure. Between preserving the jobs of ordinary workers or losing them. Yet mediocrity is no longer enough to justify a dismissal.Consequently and paradoxically, laws introduced to protect the jobs of ordinary workers may be placing those jobs at risk.If not placing jobs at risk, to the extent employment protection laws constrain business owners from dismissing under-performing managers, those laws act as a constraint on firm productivity and therefore on workers’ wages. Indeed, in ""An International Perspective on New Zealand's Productivity Paradox"" (2014), the Productivity Commission singled out the low quality of managerial capabilities as a cause of the country's poor productivity growth record.Nor are highly paid managers themselves immune from the harm caused by the ERA's unjustified dismissal procedures. Because employment protection laws make it costlier to fire an employee, employers are more cautious about hiring new staff. This makes it harder for the marginal manager to gain employment. And firms pay staff less because firms carry the burden of the employment arrangement going wrong.Society also suffers from excessive employment protections. Stringent job dismissal regulations adversely affect productivity growth and hamper both prosperity and overall well-being.Across the Tasman Sea, Australia deals with the unjustified dismissal paradox by excluding employees earning above a specified “high-income threshold” from the protection of its unfair dismissal laws. In New Zealand, a 2016 private members’ Bill tried to permit firms and high-income employees to contract out of the unjustified dismissal regime. However, the mechanisms proposed were unwieldy and the Bill was voted down following the change in government later that year.",就业、劳动保护,商业、法律
25,"How can the train operators possibly justify yet another increase to rail passenger fares. It has become a grimly reliable annual ritual: every January the cost of travelling by train rises, imposing a significant extra burden on those who have no option but to use the rail network to get to work or otherwise. This year’s rise, an average of 27 per cent, may be a fraction lower than last year’s, but it is still well above the official Consumer Price Index (CPI) measure of inflation.Successive governments have permitted such increases on the grounds that the cost of investing in and running the rail network should be borne by those who use it, rather than the general taxpayer. Why, the argument goes, should a car-driving pensioner from Lincolnshire have to subsidise the daily commute of a stockbroker from Surrey. Equally, there is a sense that the travails of commuters in the South East, many of whom will face among the biggest rises, have received too much attention compared to those who must endure the relatively poor infrastructure of the Midlands and the North.However, over the past 12 months, those commuters have also experienced some of the worst rail strikes in years. It is all very well train operators trumpeting the improvements they are making to the network, but passengers should be able to expect a basic level of service for the substantial sums they are now paying to travel. The responsibility for the latest wave of strikes rests on the unions. However, there is a strong case that those who have been worst affected by industrial action should receive compensation for the disruption they have suffered.The Government has pledged to change the law to introduce a minimum service requirement so that, even when strikes occur, services can continue to operate. This should form part of a wider package of measures to address the long-running problems on Britain’s railways. Yes, more investment is needed, but passengers will not be willing to pay more indefinitely if they must also endure cramped, unreliable services, punctuated by regular chaos when timetables are changed, or planned maintenance is managed incompetently. The threat of nationalisation may have been seen off for now, but it will return with a vengeance if the justified anger of passengers is not addressed in short order.",交通,技术
26,"Today someone reading a review of a philosophical book in the New York Review of Books might well encounter the word ""intentionality"". Yet few reviewers ever say what the word means. Not that the word is meaningless; rather, it has become a chapter-heading word: a word which stands for a whole range of topics and issues rather than for one definite subject. In particular, the following facts are commonly cited as examples of “intentionality”: (1) the fact that words, sentences, and other “representations” have meaning; (2) the fact that representations may refer to some actually existing thing or each of a number of actually existing things; (3) the fact that representations may be about something which does not exist; and (4) the fact that a state of mind may have a ""state of affairs"" as its object, as when someone says, ""she believes that he is trustworthy,"" ""he hopes that his boss will get fired,"" ""she fears that there won't be food in the house"".When the computer revolution burst upon the world, it was widely expected (and claimed) that computer models would explain the nature of these various phenomena. In short, people expected that a reductive account of the various topics included under the chapter heading ""intentionality"" would be given. Now that this has proved not so easy, a number of thinkers are beginning to suggest that it isn't so bad if this can't be done; intentionality is only a feature of ""folk psychology"" anyway. If a first-class scientific account of intentional facts and phenomena can't be given, that is not because scientific reductionism is not the right line to take in metaphysics, but rather it is because there is, so to speak, nothing there to reduce. I want to argue that both attitudes are mistaken; that intentionality won't be reduced and won't go away.The claim that ""intentionality won't be reduced and won't go away"" has sometimes been called ""Brentano's thesis,"" after a philosopher who is (not completely accurately) credited with defending it in the latter part of the nineteenth century. Sometimes the view is stated as a positive claim: the claim that intentionality is a primitive phenomenon, in fact the phenomenon that relates thought and thing, minds and the external world.In a sense, this positive view follows immediately from the negative one, but there is a joker in the pack. The joker is the old philosophical problem about the One and the Many. If one assumes that whenever we have diverse phenomena gathered together under a single name, There Must Be Something They All Have in Common, hen indeed it will follow that there is a single phenomenon (and, if it is not reducible, it must be ""primitive"") corresponding to intentionality.",哲学,文化
27,"As he was the first to theorize in a systematic way about so many other things, so Aristotle was the first thinker to theorize in a systematic way about meaning and reference. In De interpretatione he laid out a scheme which has proved remarkably robust. According to this scheme, when we understand a word or any other “sign,” we associate that word with a ""concept"". This concept determines what the word refers to. Two millennia later, one can find the same theory in John Stuart Mill's Logic, and in the present century one finds variants of this picture in the writings of Bertrand Russell, Gottlob Frege, Rudolf Carnap, and many other important philosophers. Something like this picture also appears to be built into the English language. Etymologically, meaning is related to mind. To mean something was probably, in the oldest usage, just to have it in mind. Be this as it may, the picture is that there is something in the mind that picks out the objects in the environment that we talk about. When such a something (call it a ""concept"") is associated with a sign, it becomes the meaning of the sign.This picture, whether we trace it back to Aristotle or to the meta­physics built into our language, is worth looking at closely. Let us write down the assumptions that constitute the picture for the purpose of inspection. (In writing them down, instead of the word ""concept"" I shall use the currently popular term ""mental representation,"" because the idea that concepts are just that representations in the mind is itself an essential part of the picture).1 Every word he uses is associated in the mind of the speaker with a certain mental representation.2 Two words are synonymous (have the same meaning) just in case they are associated with the same mental representation by the speakers who use those words.3 The mental representation determines what the word refers to, if anything.These assumptions are likely to seem self-evident, but I believe that they are in fact false, and it is necessary to appreciate the extent to before we can make progress in any discussion having to do with meaning or mental representation.To say that they are false is to say that there cannot be such things as ""mental representations"" which simultaneously satisfy all three of these conditions. I do not deny that there are, in some sense, mental representations. We often think with the aid of words and pictures and other signs, and it may be that unconscious thought is even richer in the use of representations than we know. Certainly computational models or the mind rely heavily on the idea of processing representations. But remember that the Aristotelian theory of meaning with which we have been stuck these two thousand-plus years doesn’t just say that we think in terms of mental representations. It is essential to the theory that sameness and difference of these representations is what sameness of meaning is about; that when we say that two words do or do not have the same meaning, what we are saying is that they are or are not associated with the same mental representations. It is also part of the Aristotelian picture with which we have been stuck these two thousand-plus years that sameness and difference of the associated mental representations is what two words do or do not refer to the same things. Both of these latter assumptions, I shall argue, are false.",哲学、亚里士多德、质疑,文化
28,"Fodor's proposal was that words (in ""Mentalese"") are semantically associated with perceptual prototypes (and thus with ""functions of the observable properties"" of various things). We have a perceptual prototype of the dog, and we often recognize that an animal we meet conforms to that perceptual prototype before we recognize what particular sort of dog it is, terrier, retriever, collie, or whatever. Indeed, this fact, the fact that we have a stereotype of a dog or a typewriter or a table or a tree, has long been noticed by philosophers and psychologists. In the days of Berkeley and Hume, such prototypes were referred to as ""ideas,"" and there was considerable discussion about their nature. Some seventeenth-century psychologists thought that they are simply mental images; but although the study of mental images continues to be an active topic today, there are well-known difficulties with this view. My perceptual prototype of a dress, for example, may include a certain shape, but it does not include any particular color. Yet any particular image of a thing, for example, a dress, must have some particular color. In short, my perceptual prototype of a dress is more abstract than any one mental image. (A problem that was much discussed in the seventeenth century). Another approach to perceptual prototypes (or stereotypes) simply identifies them with verbal responses. Thus, if upon being asked to describe a ""typical tree,"" I reply that I would expect a typical tree to be at least fifteen feet tall and to shed its leaves in winter, then being at least fifteen feet tall and being deciduous would be counted as parts of my stereotype of a tree. This notion of a stereotype is of no use for Fodor’s purposes, because stereotypes (in this sense) are words and phrases, and Fodor’s whole purpose is to get to something which lies behind, something which is deeper than, words. However, Fodor believes that one can escape the trap question, ""Are perceptual prototypes themselves verbal, or are they images."" by proposing a third alternative, derived from modem computer science.It is plausible, in terms of present-day brain research, work on artificial intelligence, and so on, that the brain contains devices for recognizing patterns (or more generally, ""functions of observable properties""). Such devices are one kind of module, in Fodor's sense. When I have learned to recognize dogs, then, Fodor postulates, somewhere in my visual system I have built up a subroutine in a little computer, one which functions independently of general intelligence, which has the function of recognizing things that exhibit particular patterns. It is quite possible for a pattern-recognition device to recognize shape without recognizing color. Thus the difficulty just raised against the identification of perceptual prototypes with images does not bar the identification of perceptual prototypes with the outputs of particular subroutines executed by modules.",哲学、言语,文化
29,"Last year marked the third year in a row of when Indonesia’s bleak rate of deforestation has slowed pace.One reason for the turnaround may be the country’s antipoverty program.In 2007, Indonesia started phasing in a program that gives money to its poorest residents under certain conditions, such as requiring people to keep kids in school or get regular medical care.Called conditional cash transfers or CCTs, these social assistance programs are designed to reduce inequality and break the cycle of poverty.They’re already used in dozens of countries worldwide.In Indonesia, the program has provided enough food and medicine to substantially reduce severe growth problems among children.But CCT programs don’t generally consider effects on the environment.In fact, poverty alleviation and environmental protection are often viewed as conflicting goals, says Paul Ferraro, an economist at Johns Hopkins University.That’s because economic growth can be correlated with environmental degradation, while protecting the environment is sometimes correlated with greater poverty.However, those correlations don't prove cause and effect.The only previous study analyzing causality, based on an area in Mexico that had instituted CCTs, supported the traditional view.There, as people got more money, some of them may have more cleared land for cattle to raise for meat, Ferraro says.Such programs do not have to negatively affect the environment, though.Ferraro wanted to see if Indonesia’s poverty-alleviation program was affecting deforestation.Indonesia has the third-largest area of tropical forest in the world and one of the highest deforestation rates.Ferraro analyzed satellite data showing annual forest loss from 2008 to 2012, including during Indonesia’s phase-in of the antipoverty program, in 7468 forested villages across 15 provinces.We see that the program is associated with a 30 percent reduction in deforestation, Ferraro says.That’s likely because the rural poor are using the money as makeshift insurance policies against inclement weather, Ferraro says.Typically, if rains are delayed, people may clear land to plant more rice to supplement their harvests.Whether this research translates elsewhere is anybody’s guess.Ferraro suggests the results may transfer to other parts of Asia, due to commonalities such as the importance of growing rice and market access.And regardless of transferability, the study shows that what’s good for people may also be good for the environment.Even if this program didn’t reduce poverty, Ferraro says, the value of the avoided deforestation just for carbon dioxide emissions alone is more than the program costs.",时事政治、贫困问题、环境保护,新闻
30,"As a historian who’s always searching for the text or the image that makes us reevaluate the past, I’ve become preoccupied with looking for photographs that show our Victorian ancestors smiling (what better way to shatter the image of 19th-century prudery). I’ve found quite a few, and, since I started posting them on Twitter, they have been causing quite a stir. People have been surprised to see evidence that Victorians had fun and could, and did, laugh. They are noting that the Victorians suddenly seem to become more human as the hundred-or-so years that separate us fade away through our common experience of laughter.Of course, I need to concede that my collection of ‘Smiling Victorians’ makes up only a tiny percentage of the vast catalogue of photographic portraiture created between 1840 and 1900, the majority of which show sitters posing miserably and stiffly in front of painted backdrops, or staring absently into the middle distance.During the 1840s and 1850s, in the early days of photography, exposure times were notoriously long: the daguerreotype photographic method (producing an image on a silvered copper plate) could take several minutes to complete, resulting in blurred images as sitters shifted position or adjusted their limbs. The thought of holding a fixed grin as the camera performed its magical duties was too much to contemplate, and so a non-committal blank stare became the norm.But exposure times were much quicker by the 1880s, and the introduction of the Box Brownie and other portable cameras meant that, though slow by today’s digital standards, the exposure was almost instantaneous.Spontaneous smiles were relatively easy to capture by the 1890s, so we must look elsewhere for an explanation of why Victorians still hesitated to smile.One explanation might be the loss of dignity displayed through a cheesy grin. Nature gave us lips to conceal our teeth, ran one popular Victorian maxim, alluding to the fact that before the birth of proper dentistry, mouths were often in a shocking state of hygiene. A flashing set of healthy and clean, regular ‘pearly whites’ was a rare sight in Victorian society, the preserve of the super-rich (and even then, dental hygiene was not guaranteed).A toothy grin (especially when there were gaps or blackened gnashers) lacked class: drunks, tramps, and music hall performers might gum and grin with a smile as wide as Carroll’s gum-exposing Cheshire Cat, but it was not a becoming look for properly bred persons. Even Mark Twain, a man who enjoyed a hearty laugh, said that when it came to photographic portraits there could be nothing more damning than a silly smile fixed forever.",摄影,文化
36,"There are reports from several cities in Iran of more clashes between anti-government protesters and the police, including in the capital Tehran. Images have appeared on social media showing protesters hurling petrol bombs at security forces. According to officials, at least 35 people have been killed since the unrest began 8 days ago. A judge in Brazil has banned president Jair Bolsonaro from using public buildings to record party political broadcast ahead of next Sunday’s general election. Earlier this week Mr Bolsonaro made a controversial live online address from the library of his official residence in Brasilia. Our America's editor Leonardo Rosha explains why Mr Bolsonaro has been urging voters to support him in the poll. All opinion polls consistently for the past two months show the president stuck with a 32%, 33% of the vote, one third of the of people supporting him.And the opponent for the front runner is the former left wing president Luiz Inacio Lula da Silva with 45-47%.If he doesn't get 50% of valid vote, there will be a second round on the last Sunday of October. Everyone expects president Bolsonaro to be defeated and many people say that explains why he's breaking the rules and pushing the boundaries a bit.The prime minister of Canada Justin Trudeau has said the military will be deployed to help the province of Nova Scotia recover from damage caused by Tropical Storm Fiona. Help has been offered to the other four provinces which were pummelled by ferocious winds, leaving hundreds of thousands of people without power.North Korea has fired a single short-range ballistic missile into the sea of its east coast. It’s the first such test since June. Japan's defence minister estimated that the missile reached a maximum altitude of 50 kilometers. It fell outside of Japanese territorial waters. There was no reported disruption to shipping or air traffic.",时事政治、自然灾害、军事,新闻
37,"The UN in Afghanistan's urged the Taliban to investigate reports of alleged killing of detainees by their fighters in the northeastern Panjshir region.It said the investigation must be transparent and perpetrators must be held to account.Last week videos emerged showing members of the Taliban opening fire on a group of captured members of the National Resistance Front, a coalition of anti-Taliban groups.The Taliban say they are investigating.At least two protesters have been killed during continuing protests in Iran sparked by the death of a woman who'd been detained by the morality police.Protests are reported in several cities in Iran's northwestern Kurdistan province.Mahsa Amini was from that region.Online videos showed confrontations between protesters and the security forces, who fired tear gas.In the capital Tehran, female protesters removed their head scarves and shouted “death to the dictator.”Tehran's police commander has insisted that Miss Amini suffered a heart attack which sent her into a coma, a claim that many people are struggling to believe.Restrictions are coming to effect in Poland and the three Baltic states, Lithuania, Latvia and Estonia barring the entry of Russian tourists into their territories.There'll be exemptions for some Russians, including those visiting family members, students, dissidents, lorry drivers and permanent residents of the European Union.And the developers of the best-selling computer game Grand Theft Auto say a hacker has leaked early footage from the game’s next edition.More than 90 videos and images were posted on an online message board.The content leak has been described as one of the biggest security breaches in the gaming industry.",时事政治、游戏、抗议,新闻
38,"Hurricane Fiona has strengthened as it moves across the Dominican Republic, bringing torrential rain and powerful winds of 170 kilometres an hour.The president Luis Abinader said the damage was considerable and declared three eastern provinces to be disaster zones.The hurricane caused severe flooding, with hundreds of people being evacuated to safe areas and widespread power blackouts.The International Energy Agency says a lack of cooperation between countries is threatening to lead to decades of delay in efforts to reduce greenhouse gas emissions and curb rising temperatures.The report, which was requested by world leaders at last year's climate conference in Scotland, said greater coordination between countries would make green technologies cheaper.It said sectors such as power, transport and agriculture were responsible for most emissions.The US Secretary of State Antony Blinken has hosted the first direct talks between the foreign ministers of Armenia and Azerbaijan after renewed fighting broke out in their border area last week.Mr Blinken said the leaders of both countries had told him they were ready for peace.Strong sustained diplomatic engagement is the best path for everyone.There is no military solution to the differences between Armenia and Azerbaijan.But there is, I think, a path to a durable peace that resolves the differences through diplomacy.The United States is prepared to do whatever it can to support these efforts.And I'm grateful to both of my colleagues for being here today to pursue this conversation.A robotic lander belonging to the US space agency NASA has captured the vibrations and sounds of four meteoroids striking the surface of the planet Mars.Scientists reported that the Mars InSight lander had detected seismic and acoustic waves from a series of impacts in 2020 and 2021.",时事政治、自然灾害、外交、火星探测,新闻、环境
39,"Senior Iranian figures have expressed concern over the death in custody last week of a young woman arrested for allegedly violating the official female dress code.The speaker of parliament said the Domestic Affairs Committee should probe the methods used by the morality police in order to prevent any repetition of Mahsa Amini’s death.A court in the English city of Leicester has jailed a man for ten months for his part in recent clashes between groups of Hindus and Muslims.47 have been arrested in relation to the unrest, which reportedly started after an India-Pakistan cricket match.25 police officers have been injured in the disorder.Leicestershire’s acting police chief Rob Nixon said social media was being used to stoke division.What we know people are doing is that they're receiving fake news via social media and then they're falling on.There are significant things on there which are false.You know, people saying that people have been assaulted.Attacks on religious establishments are being put out there in order to raise fear and to galvanize people to come to Leicester.The full force of hurricane Fiona has been battering Grand Turk, the main island at the British Caribbean territory of Turks and Caicos.Uploaded video shows deluges of near horizontal rain blown by winds gusting up to 185 kilometres an hour.A curfew is in place on the islands.The far-right Italian party Brothers of Italy has suspended one of its candidates for praising Adolf Hitler on social media days before a general election in which he’s predicted to come top.In a Facebook post in 2014, Calogero Pisano, who had a leadership role, compared the party leader Giorgia Meloni to a great statesman of 70 years ago, adding that he was referring to a German and not the Italian dictator Benito Mussolini.",时事政治、冲突、自然灾害、竞选,新闻、环境
40,"From the early days of broadband, advocates for consumers and web-based companies worried that the cable and phone companies selling broadband connections had the power and incentive to favor affiliated websites over their rivals’. That is the reason why there has been such a strong demand for rules that would prevent broadband providers from picking winners and losers online, preserving the freedom and innovation that have been the lifeblood of the Internet.Yet that demand has been almost impossible to fill-in part because of pushback from broadband providers, anti-regulatory conservatives and the courts. A federal appeals court weighed in again Tuesday, but instead of providing a badly needed resolution, it only prolonged the fight. At issue before the United States Court of Appeals for the District of Columbia Circuit was the latest take of the Federal Communications Commission (FCC) on net neutrality, adopted on a party-line vote in 2017. The Republican-penned order not only eliminated the strict net neutrality rules the FCC had adopted when it had a Democratic majority in 2015, but rejected the commission’s authority to require broadband providers to do much of anything. The order also declared that state and local governments couldn’t regulate broadband providers either.The commission argued that other agencies would protect against anti-competitive behavior, such as a broadband-providing conglomerate like favoring its own video-streaming service at the expense of Netflix and Apple TV.Yet the FCC also ended the investigations of broadband providers that imposed data caps on their rivals’ streaming services but not their own.On Tuesday, the appeals court unanimously upheld the 2017 order deregulating broadband providers, citing a Supreme Court ruling from 2005 that upheld a similarly deregulatory move. But Judge Patricia Millett rightly argued in a concurring opinion that the result is unhinged from the realities of modem broadband service, and said Congress or the Supreme Court could intervene to avoid trapping Internet regulation in technological anachronism.In the meantime, the court threw out the FCC’s attempt to block all state rules on net neutrality, while preserving the commission’s power to preempt individual state laws that undermine its order. That means more battles like the one now going on between the Justice Department and California, which enacted a tough net neutrality law in the wake of the FCC’s abdication.The endless legal battles and back-and-forth at the FCC cry out for Congress to act. It needs to give the commission explicit authority once and for all to bar broadband providers from meddling in the traffic on their network and to create clear rules protecting openness and innovation online.",时事政治、网络、法律,新闻、法律
41,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK “town of culture” award. The proposal is that it should sit alongside the existing city of culture title, which was held by Hull in 2017, and has been awarded to Coventry for 2021. Cooper and her colleagues argue that the success of the crown for Hull, where it brought in 220 million pounds of investment and an avalanche of arts, ought not to be confined to cities. Britain’s towns, it is true, are not prevented from applying, but they generally lack the resources to put together a bid to beat their bigger competitors. A town of culture award could, it is argued, become an annual event, attracting funding and creating jobs.Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008. A cynic might speculate that the UK is on the verge of disappearing into an endless fever of self-celebration in its desperation to reinvent itself for the post-Brexit world: after town of culture, who knows what will follow, village of culture, suburb of culture, hamlet of culture.It is also wise to recall that such titles are not a cure-all. A badly run “year of culture” washes in and washes out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community. The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year. They transform the aspirations of the people who live there; they nudge the self-image of the city into a bolder and more optimistic light. It is hard to get right, and requires a remarkable degree of vision, as well as cooperation between city authorities, the private sector, community groups and cultural organizations. But it can be done: Glasgow’s year as European capital of culture can certainly be seen as one of a complex series of factors that have turned the city into the powerhouse of art, music and theatre that it remains today.A “town of culture” could be not just about the arts but about honoring a town’s peculiarities, helping sustain its high street, supporting local facilities and above all celebrating its people. Jeremy Wright, the culture secretary, should welcome this positive, hope-filled proposal, and tum it into action.",时事政治、乡村文化,新闻、文化
42,"Scientific publishing has long been a license to print money. Scientists need journals to publish research, so they will supply the articles without monetary reward. Other scientists perform the work of peer review also for free, because it's a central element in the acquisition of status and the production of scientific knowledge.With the content of papers secured for free, the publisher needs only find a market for its journal. Until this century, university libraries were not very price sensitive. Scientific publishers report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis.The Dutch giant Elsevier, which claims to publish 25% of the scientific papers produced in the world, made profits of more than 900 million pounds last year, while UK universities alone spent more than 210 million pounds in 2016 to enable researchers to access their own publicly funded research; both figures seem to rise unstoppably despite increasingly desperate efforts to change them.The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015. The success of Sci-Hub, which relies on researchers passing on copies they have themselves legally accessed, shows the legal ecosystem has lost legitimacy among its users and must be transformed so that it works for all participants.In Britain the move towards open access publishing has been driven by funding bodies. In some ways it has been very successful. More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release.Yet the new system has not yet worked out any cheaper for the universities. Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article. These range from around 500 pounds to 5000 dollars, and apparently the work gets more expensive the more that publishers do it. A report last year pointed out that the costs both of subscriptions and of these “article preparation costs” had been steadily rising at a rate above inflation.In some ways the scientific publishing model resembles the economy of the social internet: labor is provided free in exchange for the hope of status, while huge profits are made by a few big firms who run the market places. In both cases, we need a rebalancing of power.",版权、论文发表,法律
43,"Progressives often support diversity mandates as a path to equality and a way to level the playing field. But too often such policies are an insincere form of virtue-signaling that benefits the most privileged and does little to help average people. A pair of bills sponsored by Massachusetts state Senator Jason and House Speaker Pro Tempore Patricia Haddad, to ensure “gender parity” on boards and commissions, provide a case in point.Haddad and Lewis are concerned that more than half the state-government boards are less than 40 percent female. In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas. If the bills become law, state boards and commissions will be required to set aside 50 percent of board seats for women by 2022.The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies. In signing the measure, California Governor Jerry Brown admitted that the law, which expressly classifies people on the basis of sex, is probably unconstitutional.The US Supreme Court frowns on sex-based classifications unless they are designed to address an “important” policy interest. Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of “equal protection”. But are such government mandates even necessary. Female participation on corporate boards may not currently mirror the percentage of women in the generalThe number of women on corporate boards has been steadily increasing without government interference. According to a study by Researcher Catalyst, between 2010 and 2015 the share of women on the boards of global corporations increased by around 54 percent.Requiring companies to make gender the primary qualification for board membership will let less experienced private sector boards. That's what happened when Norway adopted a nationwide corporate gender quota.Writing in The New Republic, Alice Lee notes that increasing the number of opportunities for board membership without increasing the pool of qualified women to serve on such boards has led to a “golden skirt” phenomenon, where the same elite women scoop up multiple seats on a variety of boards.Next time somebody pushes corporate quotas as a way to promote gender equity, remember that such policies are largely self-serving measures that make their sponsors feel good but do little to help average women.",性别平等,社会科学
44,"W V Quine would no doubt say that the difficulties with “mentalism” pointed out in the preceding chapters are grist for his mill. Quine has long contended that it is a mistake to think of meanings as objects in the head; that the notion of synonymy is hopelessly vague, at least if our interests are theoretical; and that even reference is “inscrutable” when we are dealing with a language other than our own. In our own language, after it has been translated into a “regimented notation” (that is, predicate calculus), it is easy to specify the extension of “refers to”. The “disquotational” truths that “cat” refers to cats, “electron” refers to electrons, “superego” refers to superegos and so on, suffice to determine the extension of the relation “refers to” when that relation is restricted to the “home language”. Every question of sameness of reference, for example, “Does ‘water’ have the same reference as ‘H2O’”, just reduces to the corresponding first-order question (“Is water H2O?”).To the objection that translation into a regimented notation presupposes some notion of sameness of meaning, Quine said that such translation is a “free creation,” not a discovery of some content already there. Quine thinks of unregimented natural language as a “System of noises which has the function of helping us to anticipate stimulations of our nerve endings,” but to which no serious scientific notion of reference or truth is applicable.To the objection that any theory of the propositional attitudes presupposes that we can compare utterances made in different languages (or thoughts “subvocalized” in different languages) for sameness or difference of meaning, Quine’s response is that the propositional attitudes belong to folk psychology, not to science. We should settle for behaviorism, in Quine’s view.I cannot discuss here the deep philosophical reasons that Quine offers in support of these views. My plan in this book is to evaluate the prospects of a particular philosophical research program, or rather of a family of research programs, without allowing the discussion to broaden into a discussion of metaphysical issues in general. Of course this is not completely possible; every philosophical program touches on deep metaphysical issues. But there is a fundamental difference in what may be called “level” between the question “Can a reductionist account of broad content (respectively narrow content) be given?” and such questions as “Is there a language-independent world at all?” Here I intend to confine myself largely to questions at what may be considered the “shallower” level; questions that face philosophers who consider themselves “scientific realists”. What bearing the results we obtain at the shallower, or less metaphysical, level have on contemporary discussions in metaphysics will be briefly discussed in the final chapter; but for the most part, this question will be left for a future book.",哲学,文化
